risk_id,category,risk,leading_indicator,impact,control,owner,evidence_gate,triggered_action
R-001,product,"Users primarily want job discovery/CV help rather than mobility decisions","Discovery artifacts show generic pain",existential,"Recent-decision interviews before pitch",Founder,"6 of first 8 show repeated specific pain","Narrow or stop decision thesis"
R-002,demand,"Users value advice but will not pay before an offer","Checkout starts without payment",high,"Real paid Decision Pack test",Founder,"Real non-team payments and repeat use","Transaction/partner model or stop"
R-003,retention,"Decision need is one-off rather than recurring","No second distinct vacancy or payment",high,"Track repeat vacancy decisions by cohort",Product,"Two repeat-paid events in first discovery cohort","Avoid subscription thesis"
R-004,reliability,"False-positive route conclusion causes harmful action","Critical corpus or user report",critical,"Fail-closed rules; holdout; freeze/replay",Decision owner,"Zero observed critical release failures","Freeze affected route and incident"
R-005,trust,"Users over-rely on confident presentation","Flawed-output detection below threshold",critical,"Comprehension/reliance study; separated status",Research,"80% critical-flaw detection and no majority over-reliance","Redesign or stop release"
R-006,source,"Official source changes are missed or misclassified","Age/SLO breach; contradiction",critical,"Versioned sources; diff queue; owners",Source operations,"Critical changes contained in SLO","Freeze route and incident"
R-007,legal,"Personalised output is regulated immigration advice","Counsel/authority indicates regulated scope",existential,"Information-only mode; authorised expert model",Founder/counsel,"Written opinion per delivery model","Partner/register/restrict output"
R-008,AI_regulation,"Employer/public-authority expansion changes AI Act classification","New buyer/intended purpose proposal",high,"Feature-level classification and change gate",Counsel/product,"Approved intended-purpose record","Block scope change until assessed"
R-009,privacy,"Mobility/candidate data creates high residual harm","DPIA residual risk or incident",critical,"Minimisation; purpose controls; deletion; security",DPO/security,"DPIA approval and drills","Do not launch/contain incident"
R-010,bias,"Recommendations systematically disadvantage protected/proxy groups","Segmented error disparity",critical,"Counterfactual/segment evaluation and human review",Risk owner,"No unexplained material critical-error disparity","Freeze and investigate"
R-011,employer_data,"Fuzzy entity matching creates false verified sponsor labels","Precision benchmark failure",critical,"Exact identifier/manual confirmation only",Data owner,"Near-zero false confirmed matches","Disable verified label"
R-012,expert,"Qualified reviewer capacity is scarce or inconsistent","SLA breach; disagreement; cost",high,"Two-reviewer network; scoped bundles; adjudication",Operations,"Coverage and response SLO for each route","Pause route or partner"
R-013,economics,"Expert/source/support cost exceeds achievable price","Negative delivery contribution",existential,"Fully loaded ledger and offer cells",Founder/finance,"Positive improving contribution after variable costs","Narrow delivery or stop market"
R-014,competition,"Incumbent or general LLM matches core value","Blind same-scenario benchmark",high,"Inspectability/replay/candidate evidence differentiation",Founder/product,"Material decision/trust advantage","Partner/narrow/stop moat claim"
R-015,distribution,"Qualified candidates cannot be reached economically","Low qualified exposure or high acquisition effort",high,"Channel-specific funnel and founder time ledger",Growth,"Plausible CAC from observed channel","Change segment/channel"
R-016,architecture,"Duplicate engines diverge and undermine traceability","Same case yields different decisions",critical,"Canonical contract; adapters; import guard",Engineering,"All live surfaces share canonical trace","Block feature work and converge"
R-017,operations,"Production vendor/config appears complete but real flow fails","No provider-side evidence",high,"Production verification evidence plan",Engineering,"Payment/email/alert/extension end-to-end pass","No paid beta"
R-018,claims,"Marketing outruns evidence","Unsubstantiated eligible/verified/outcome language",high,"Claim register; server policy; channel audit",Founder/marketing,"Every material claim has owner/evidence/expiry","Remove claim and correct users"
R-019,expansion,"Country count consumes runway before corridor proof","Research/build spend outside gates",high,"Non-compensating safety gates and portfolio bands",Founder,"DE/NL gate decision before market build","Freeze expansion"
R-020,data_moat,"Collected outcomes are biased/noisy or unusable by consent","No measurable improvement from data",high,"Purpose-specific consent; labelled corrections; evaluation",Data/product,"Corpus growth reduces error/review cost","Stop calling data a moat"
