jurisdiction,total_sources,primary_law_sources,official_or_regulator_sources,r0_sources,interpretation
Austria,1,0,1,0,"Single guidance chain; law/list depth pending"
Belgium,3,0,3,0,"Official guidance exists; four-region current chain pending"
Czechia,2,0,2,1,"Discovery/official guidance; national numeric chain pending"
Denmark,2,0,2,0,"Scheme guidance captured; lists/certified employer data pending"
Estonia,2,1,2,0,"Primary law plus guidance; current statistical input pending"
EU,8,2,8,1,"Framework regulatory and statistical evidence; not national implementation"
Finland,3,0,3,0,"Current guidance/threshold evidence; primary-law reconciliation pending"
France,1,0,1,0,"Single route-taxonomy guidance source; decrees and bilingual chain pending"
Germany,4,1,4,0,"Strengthened Blue Card/IT chain; full cross-reference review pending"
Ireland,6,0,6,0,"Current route/remuneration/list guidance; live numeric contradiction and instruments pending"
Italy,2,0,2,1,"Discovery/guidance only; current national law/threshold pending"
Lithuania,3,0,3,2,"Formula orientation; current input/national chain weak"
Luxembourg,1,0,1,0,"Single competent guidance source; underlying law pending"
Netherlands,6,0,6,0,"Strong competent-authority operational chain; Dutch legal text pending"
Norway,1,0,1,0,"Single UDI guidance source; separate route model pending"
Poland,1,0,1,0,"Single EU guidance source; current transposition chain pending"
Portugal,2,0,2,1,"Guidance exists with stale-value warning; national chain pending"
Spain,5,1,5,1,"Strongest threshold chain beyond beachhead; route/list review pending"
Sweden,1,0,1,0,"Current Blue Card guidance; ordinary permit/law chain pending"
Switzerland,1,0,1,0,"Single federal guidance source; cantonal practice pending"
United Kingdom,5,0,5,0,"Official route/regulator guidance; primary rules and written scope opinion pending"
Global,12,0,0,0,"Vendor-primary competitor evidence only; never legal authority"
