market,route,review_scope,priority_questions,required_reviewer_evidence,approval_evidence,product_restriction,status
Germany,EU Blue Card,"Blue Card salary occupation qualification and degree-comparability decision language","Confirm shortage/new-entrant branches and occupation mapping; approve exact-boundary language","German immigration-law authority or documented professional competence and conflicts declaration","Signed version-scoped attestation with claim IDs test run permitted wording expiry and withdrawal path","Conditional information only until signed; no legal-outcome guarantee",pending_external_review
Netherlands,Highly Skilled Migrant and EU Blue Card,"Recognised-sponsor identity income market-rate and route selection","Confirm legal-name matching market-rate limits and reduced-threshold cohorts","Dutch immigration-law authority or documented professional competence and conflicts declaration","Signed review of register matching ambiguity rules and salary cases","Possible-match or unverified for non-exact sponsor identities",pending_external_review
Ireland,Critical Skills Employment Permit,"Statutory remuneration occupation list graduate branch and stale official table","Confirm S.I. 643/2025 precedence and occupation-specialism mapping","Irish employment-permit specialist with documented competence and conflicts declaration","Signed claim/test packet including stale-table treatment","No definitive occupation match without specialism evidence",pending_external_review
Sweden,EU Blue Card,"Salary formula ICT experience and qualification comparability","Confirm SSYK mapping and annual amount transition","Swedish migration-law specialist with documented competence and conflicts declaration","Signed current and predecessor boundary packet","Conditional result; comparability remains reviewable",pending_external_review
France,Talent EU Blue Card,"Duration supersession salary conflict and experience alternatives","Reconcile EUR 53,836.50 against EUR 59,373 and approve stale France-Visas handling","French immigration-law specialist with documented competence and conflicts declaration","Signed precedence memo source snapshots and amount/duration test results","Salary result remains source_conflict",pending_external_review
Spain,EU Blue Card,"General and reduced thresholds occupation catalogue and application transition","Confirm hard-to-fill CNO branch education recency and opt-in transition","Spanish immigration-law specialist with documented competence and conflicts declaration","Signed order/INE/list version packet with boundary cases","Reduced threshold is review_required until mapped",pending_external_review
Austria,EU Blue Card,"AuslBG qualification salary statistic special payments and AMS dependency","Confirm compensation normalization ISCO 133/25 and no-inference AMS wording","Austrian immigration/employment-law specialist with documented competence and conflicts declaration","Signed law/statistic packet and AMS safe-state wording","Never claim AMS approval; conditional only",pending_external_review
Denmark,Pay Limit and Supplementary Pay Limit,"Scheme conditions annual cohorts extensions and Danish-standards pay","Confirm threshold cohort and extension treatment under current Aliens Act/order","Danish immigration-law specialist with documented competence and conflicts declaration","Signed scheme-by-scheme claim and transition test packet","No cross-scheme substitution; conditional only",pending_external_review
Finland,Specialist and EU Blue Card,"Route choice salary calculation expertise and statutory supersession","Confirm annual calculation and specialist-versus-Blue-Card semantics","Finnish immigration-law specialist with documented competence and conflicts declaration","Signed law/calculation/route packet and predecessor replay","Conditional result until annual calculation approved",pending_external_review
Belgium,Regional highly skilled and EU Blue Card,"Regional jurisdiction salary qualification and ICT experience","Confirm work-region determination Brussels canonical text and Flanders successor amount","Belgian regional immigration/employment-law expertise covering each marketed region","Separate signed attestations for Flanders Wallonia and Brussels","Review_required unless work region and active regional bundle are known",pending_external_review
Luxembourg,EU Blue Card,"Article 45 contract qualification ADEM process and salary regulation","Identify current Grand-Ducal amount instrument and validate EUR 65,652 interval","Luxembourg immigration-law specialist with documented competence and conflicts declaration","Signed regulation/administration packet with amount history","Review_required until controlling amount instrument captured",pending_external_review
Poland,EU Blue Card,"Statutory basis salary procedure occupation and local constraints","Confirm controlling provisions process changes and occupation/local-surplus logic","Polish immigration-law specialist with documented competence and conflicts declaration","Signed law/procedure/list packet with effective dates","Conditional; do not infer local eligibility from national threshold",pending_external_review
Czechia,EU Blue Card,"Six-month statutory duration current amount vacancy identifier and stale guidance","Confirm section 42j precedence and official vacancy-data interpretation","Czech immigration-law specialist with documented competence and conflicts declaration","Signed law/amount/stale-source packet and vacancy ingestion sample","Conditional until vacancy evidence is captured",pending_external_review
Portugal,EU Blue Card and Tech Visa,"Blue Card average salary Tech Visa IAS rounding and certified employer status","Identify controlling salary statistic; decide half-cent treatment; verify certification provenance","Portuguese immigration/employment-law specialist with documented competence and conflicts declaration","Signed route-separated instrument and arithmetic packet","Review_required; no exact salary or employer-verification output",pending_external_review
Estonia,EU Blue Card,"Salary statistic derivation effective period rounding and top-specialist separation","Confirm official amount calculation and prevent route conflation","Estonian immigration-law specialist with documented competence and conflicts declaration","Signed statistic/formula and route-separation packet","Review_required for derived boundaries",pending_external_review
Lithuania,EU Blue Card,"BDU transition intermediary letter and high-value shortage list","Confirm current list and 12/25 May transition implementation","Lithuanian immigration-law specialist with documented competence and conflicts declaration","Signed amount/list/transition packet","Conditional; list-dependent branch unavailable until current version captured",pending_external_review
Italy,EU Blue Card,"ISTAT statistic applicable CCNL classification level and employer filing","Identify exact statistic observation and validate max-of-ISTAT-and-CCNL method","Italian immigration and labour-law specialist with CCNL classification competence","Signed job-specific classification/pay-table packet and exact statistic","Review_required; approximate EUR 36,300 cannot decide",pending_external_review
Norway,Skilled Worker,"Primary-law basis qualification normal-pay and collective-agreement branches","Confirm salary evidence hierarchy and employer confirmation-code scope","Norwegian immigration/employment-law specialist with documented competence and conflicts declaration","Signed law/pay/employer-workflow packet","Review_required where normal-pay or qualification judgement is unresolved",pending_external_review
Switzerland,Third-country skilled employment,"Federal quota precedence recruitment proof and canton discretion","Validate canton-specific implementation and limits of deterministic output","Swiss federal and relevant cantonal migration specialist with documented competence","Canton-scoped signed packet with quota date and discretionary-language approval","Authority_review only; no deterministic approval claim",pending_external_review
United Kingdom,Skilled Worker,"Immigration Rules salary going-rate sponsor and regulated-advice boundary","Map 3 September 2026 changes and determine IAA authorisation boundary for candidate-specific outputs","UK immigration adviser/lawyer with appropriate IAA status or exemption plus privacy competence","Written scope opinion and signed rule/sponsor test packet","Regulated_review; general information only until opinion",pending_external_review
