competitor,segment,evidence_date,observed_capability,observed_price_or_scale,primary_source,evidence_limit,autotime_consequence
Simplify,candidate suite,2026,"Profile/job-connected autofill; tailoring; application answers; tracker; outreach; analytics","USD 19.99 weekly; 39.99 monthly; 89.99 quarterly",https://help.simplify.jobs/articles/5623502-whats-included-in-simplify-features-and-pricing,"Outcome figures are vendor internal claims","Do not compete on generic application speed or workflow breadth"
Teal,candidate suite,2026-07-27,"Unlimited job tracking/resumes; keyword matching; AI writing and interview practice","USD 13 weekly; 29 monthly; 79 quarterly",https://help.tealhq.com/en/articles/9530153-teal-vs-teal,"Feature/pricing evidence only; no mobility decision evidence found","Free tracking destroys standalone tracker pricing power"
Huntr,candidate suite,2026-05-01,"Tracking; autofill; AI tailored resumes/letters; matching; scoring and insights","USD 40 monthly; 90 quarterly; 160 biannually",https://help.huntr.co/en/articles/10714568-plan-types-and-pricing,"Feature/pricing evidence only","Generic tailoring and autofill are parity features"
Careerflow,candidate suite,2026,"Broad career-readiness suite",USD 23.99 monthly,https://www.careerflow.ai/premium,"Current page needs periodic price recheck","Broad bundling anchors candidate subscription expectations"
Jobbatical,employer mobility,2026,"Eligibility check; automated case creation; documents; renewals; audit trail; expert-reviewed filings; HRIS", "45+ countries; vendor claims 17,000+ relocations",https://www.jobbatical.com/platform,"Scale/success metrics are vendor claims, not independently verified","Rules, audit trail and experts are already competitive table stakes"
Localyze,employer mobility,2026,"Pre-check to case; expert/self-managed case support; documents; timelines; HRIS; destination services","31+ immigration countries; published service examples EUR 479-2899 and UK GBP 900-2500",https://www.localyze.com/immigration-visas,"Coverage/pricing are vendor-published and may be customer/context dependent","Partner candidate handoff; do not rebuild filing operations early"
Deel,employer mobility/API,2026-01-01,"Visa-requirement assessment; visa types; case/document/right-to-work APIs; expert case execution","API claims 190+ country compliance context; mobility page shows 71 countries",https://developer.deel.com/api/platform/immigration,"Different pages use different coverage definitions; vendor claims","API-distributed screening is a direct substitute and integration/partner option"
Relocate.me,candidate relocation discovery,2026,"Relocation/sponsorship-oriented technology vacancies and content",not captured,https://relocate.me/,"Detailed current workflow/pricing evidence remains to audit","Discovery is not defensible without vacancy-level evidence quality"
EU Talent Pool,public infrastructure,2026-06-10,"Planned third-country candidate profiles and participating-state shortage vacancies",public infrastructure,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/legal-migration-and-resettlement/work/eu-talent-pool_en,"Participation and implementation state remain evolving","Treat public matching as infrastructure/substitute, not proprietary moat"
Fragomen,enterprise immigration and legal technology,2026,"Case initiation; document and status workflow; data reuse; immigration knowledge products; expert delivery; security and privacy certifications","Vendor states 170+ jurisdictions; a 25+ person knowledge group; 50,000 research data points across 130 countries",https://www.fragomen.com/our-tech-and-innovation/fragomen-technologies.html,"Coverage, staffing and data-volume figures are vendor claims; they do not prove decision accuracy or candidate outcomes","Country breadth, legal knowledge and audit workflow are incumbent strengths; compete at the candidate-controlled pre-application decision and outcome layer"
Envoy Global,enterprise immigration and legal technology,2026,"Pre-hire eligibility assessment with legal guidance; case and document workflow; HRIS; spend forecasting; AI data validation; access to legal teams",not publicly priced,https://www.envoyglobal.com/why-envoy-global/technology/,"Capabilities are vendor-published and buyer-side; no independent accuracy or outcome study captured","Eligibility screening plus counsel is already a product category; AutoTime needs vacancy-specific independent evidence and longitudinal candidate utility"
