market,route,law_claim_ids,administrative_claim_ids,amount_or_statistic_claim_ids,mutable_register_or_list_claim_ids,supersession_claim_ids,chain_state,decision_state,remaining_gap
Germany,EU Blue Card,DE-LAW-001|DE-LAW-002|DE-LAW-003,DE-001|DE-002|DE-003,DE-001|DE-002,DE-002,DE-LAW-001,law-admin-amount-linked,conditional,"Occupation mapping and reviewer-approved boundary corpus"
Netherlands,Highly Skilled Migrant and EU Blue Card,NL-REG-001,NL-001|NL-002|NL-003|NL-ADM-001|NL-ADM-002,NL-001|NL-002|NL-ADM-002,NL-003,NL-REG-001,admin-amount-register-linked,conditional,"Underlying Aliens Decree provisions and live register ingestion test"
Ireland,Critical Skills Employment Permit,IE-LAW-001|IE-LAW-002|IE-AMT-001,IE-001|IE-002|IE-003,IE-AMT-001,IE-003,IE-AMT-001|IE-003,law-admin-amount-linked-with-stale-table,conditional,"Full amendment consolidation and occupation-specialism regression corpus"
Sweden,EU Blue Card,SE-LAW-001|SE-LAW-002,SE-001|SE-002|SE-ADM-001,SE-001|SE-ADM-001,SE-LAW-002,SE-LAW-001,law-admin-amount-linked,conditional,"Qualification comparability and predecessor amount history"
France,Talent EU Blue Card,FR-LAW-001|FR-DUR-001|FR-SUP-001,FR-001|FR-ADM-001,FR-AMT-001|FR-ADM-001,FR-001,FR-DUR-001|FR-SUP-001,law-admin-duration-linked-with-amount-conflict,source_conflict,"Duration resolved at six months from 3 May 2025; reconcile Service-Public EUR 53,836.50 against EUR 59,373 current-order derivation"
Spain,EU Blue Card,ES-LAW-001|ES-SUP-001,ES-001,ES-AMT-001,ES-001,ES-SUP-001,law-admin-amount-linked,conditional,"Reduced-threshold occupation catalogue and education-date evidence"
Austria,EU Blue Card,AT-LAW-001|AT-LAW-002,AT-001|AT-002|AT-ADM-001,AT-001|AT-STAT-001,AT-002,AT-LAW-001|AT-STAT-001,law-admin-statistic-linked,conditional,"AMS labour-market outcome is authority-side; annual statistic publication must be monitored"
Denmark,Pay Limit and Supplementary Pay Limit,DK-SUP-001,DK-001|DK-002|DK-ADM-001|DK-ADM-002,DK-001|DK-002|DK-ADM-001,DK-002,DK-SUP-001,admin-amount-cohort-linked,conditional,"Underlying Aliens Act/order chain and scheme-condition completeness"
Finland,Specialist and EU Blue Card,FI-LAW-001|FI-SUP-001,FI-001|FI-002|FI-ADM-001|FI-ADM-002,FI-001|FI-ADM-001,none,FI-SUP-001,law-admin-amount-linked,conditional,"Reproducible annual calculation from average salary to EUR 3,937"
Belgium,Regional highly skilled and EU Blue Card,BE-FL-LAW-001|BE-WA-LAW-001|BE-BR-LAW-001,BE-FL-001|BE-WA-001|BE-BR-001|BE-FL-COMP-001|BE-FL-SUP-001,BE-FL-001|BE-WA-001|BE-BR-001,BE-FL-SUP-001,BE-FL-SUP-001,regional-law-linked,review_required,"Canonical Brussels consolidation; Flanders successor statistic; region determination"
Luxembourg,EU Blue Card,LU-LAW-001,LU-001|LU-002|LU-ADM-001,LU-001|LU-ADM-001,LU-002,none,partial-law-admin,review_required,"Exact current Grand-Ducal salary regulation and amount history"
Poland,EU Blue Card,PL-001,PL-001|PL-ADM-001|PL-PROC-001,PL-001|PL-ADM-001,PL-001|PL-PROC-001,PL-PROC-001,admin-amount-procedure-linked,conditional,"Underlying statutory provision and occupation/local-surplus logic"
Czechia,EU Blue Card,CZ-LAW-001,CZ-001|CZ-002|CZ-003,CZ-AMT-001,CZ-002|CZ-003,CZ-LAW-001|CZ-AMT-001,law-admin-amount-linked-with-stale-guidance,conditional,"Vacancy-list ingestion and reviewer confirmation of stale-page handling"
Portugal,EU Blue Card and Tech Visa,PT-001|PT-002,PT-001|PT-002|PT-003|PT-REG-001,PT-003|PT-IAS-001,PT-002|PT-REG-001,PT-IAS-001,partial-formula-with-register,review_required,"Blue Card average-salary instrument and Tech Visa rounding remain unresolved; company and responsibility-term verification chain captured"
Estonia,EU Blue Card,EE-003,EE-001|EE-002|EE-003|EE-004,EE-001|EE-004,EE-002,EE-003,law-statistic-derived,review_required,"Administrative confirmation and rounding/effective-period mapping for derived amounts"
Lithuania,EU Blue Card,LT-002,LT-001|LT-002|LT-AMT-001,LT-AMT-001,LT-002,LT-AMT-001,law-admin-amount-linked,conditional,"Current high-value shortage-list version and transition workflow test"
Italy,EU Blue Card,IT-003,IT-001|IT-002|IT-003|IT-ADM-001|IT-CCNL-001,IT-ADM-001,IT-002,none,law-admin-approximation-linked,review_required,"Exact dated ISTAT observation and job/employer-specific CCNL classification and pay table"
Norway,Skilled Worker,NO-001,NO-001|NO-002|NO-ADM-001|NO-FRAUD-001,NO-002,NO-FRAUD-001,NO-FRAUD-001,admin-employer-linked,review_required,"Primary-law chain and collective-agreement/normal-pay exception evidence"
Switzerland,Third-country skilled employment,CH-LAW-001,CH-001|CH-LAW-001,CH-001,CH-001,CH-001,law-admin-quota-linked,authority_review,"Cantonal implementation current quota and discretionary labour-market assessment"
United Kingdom,Skilled Worker,UK-RULE-001,UK-001|UK-SW-001|UK-SP-001|UK-SP-002,UK-RULE-001,UK-001|UK-SP-001|UK-SP-002,UK-SUP-001,law-admin-register-linked-pending,regulated_review,"3 September 2026 commencement mapping and written IAA scope opinion"
