claim_id,domain,jurisdiction,route_or_entity,claim,claim_type,primary_source,publisher,source_date,retrieved_date,effective_date,confidence,contradiction_status,product_consequence,safe_interim_behavior
MKT-001,market,EU,ICT employment,"10.45 million ICT specialists worked in the EU in 2025, equal to 5.0% of employment",fact,https://ec.europa.eu/eurostat/en/web/products-eurostat-news/w/ddn-20260527-2,Eurostat,2026-05-27,2026-09-11,2025,high,none,"Supports a large tech-worker context but not addressable demand",Do not use as TAM
MKT-002,market,EU,ICT employment,"ICT-specialist employment grew 59.4% from 2015 to 2025",fact,https://ec.europa.eu/eurostat/statistics-explained/SEPDF/cache/47162.pdf,Eurostat,2026-05-22,2026-09-11,2015/2025,high,none,"Supports long-term category relevance",Do not imply future growth rate
MKT-003,market,EU,information and communication,"EU job vacancy rate for information and communication was 2.2% in Q4 2025",fact,https://ec.europa.eu/eurostat/web/products-euro-indicators/w/3-18032026-bp,Eurostat,2026-03-18,2026-09-11,2025-Q4,high,none,"Weakens generic acute-shortage positioning",Require corridor and occupation evidence
MOB-001,mobility,EU,EU Blue Card,"78,096 EU Blue Cards were issued in 2024; 12.3% fewer than 2023",fact,https://ec.europa.eu/eurostat/statistics-explained/SEPDF/cache/70280.pdf,Eurostat,2025,2026-09-11,2024,high,none,"Revealed demand is material but not uniformly growing",Do not extrapolate without time series
DE-001,mobility,Germany,EU Blue Card,"Germany issued 56,252 EU Blue Cards in 2024, 72.0% of the EU total",fact,https://ec.europa.eu/eurostat/statistics-explained/SEPDF/cache/70280.pdf,Eurostat,2025,2026-09-11,2024,high,none,"Strong evidence for Germany-first",Still validate reachable candidate demand
DE-002,mobility,Germany,EU Blue Card,"2026 general gross salary threshold is EUR 50,700; shortage/new-entrant threshold is EUR 45,934.20",fact,https://www.make-it-in-germany.com/en/visa-residence/types/eu-blue-card,German Federal Government,2026,2026-09-11,2026,high,none,"Machine-checkable threshold adapter with effective dates",Return unknown for non-fixed compensation
DE-003,mobility,Germany,EU Blue Card,"IT specialists without a degree may qualify using at least three years of comparable professional experience",fact,https://www.make-it-in-germany.com/en/visa-residence/skilled-immigration-act,German Federal Government,2026-08,2026-09-11,current,high,"Resolved and refined by DE-LAW-002: ISCO 133/25, prior-seven-year window, degree comparability and job necessity","Administrative summary only; compiler uses DE-LAW-002 predicates","Do not execute this simplified claim alone"
NL-001,mobility,Netherlands,Highly Skilled Migrant,"Only an IND-recognised sponsor can apply",fact,https://ind.nl/en/residence-permits/work/highly-skilled-migrant,IND,2026-08-18,2026-09-11,current,high,none,"Sponsor verification is decision-critical",Never infer recognition from employer assertion
NL-002,mobility,Netherlands,Highly Skilled Migrant,"2026 monthly gross thresholds excluding holiday pay are EUR 5,942 age 30+; EUR 4,357 under 30; EUR 3,122 reduced criterion",fact,https://ind.nl/en/required-amounts-income-requirements,IND,2026,2026-09-11,2026,high,none,"Requires age/application-context/effective-date adapter",Exclude uncertain and non-regular compensation
NL-003,employer,Netherlands,recognised sponsors,"IND public registers are updated monthly",fact,https://ind.nl/en/public-register-recognised-sponsors,IND,2026,2026-09-11,current,high,none,"Defines minimum sponsor refresh cadence",Critical removals require change alert and replay
