finding_id,title,claim,before_state,after_state,documented,implemented,deployed,validated,confidence,evidence_paths,strategic_significance,recommended_action,owner,deadline,verification_method,status
CID-2026-001,Versioned evidence foundation,"Temporal source claim and bundle lineage now exists in the working tree",Coarse citation metadata,Immutable schema and additive migration,Yes,Yes,No evidence,No evidence,High,"packages/shared/src/evidence/versioned.ts | supabase/migrations/20260912120000_mobility_evidence_registry.sql",High,"Commit then execute migration integration test against disposable Postgres",Engineering,2026-09-19,"Commit SHA plus migration up/down-safe probe",Open
CID-2026-002,Source change control,"Deterministic classification exists but no operating monitoring loop is evidenced",Absent,Classifier and ledger design,Yes,Yes,No evidence,No evidence,High,"packages/shared/src/evidence/change-detection.ts | scripts/mobility-source-change.test.mjs",Critical,"Build scheduler capture quarantine alert and drill",Engineering/Research,2026-09-26,"Silent-edit and outage drill artifacts",Open
CID-2026-003,Decision replay,"Canonical replay and correction foundations exist but production decisions are not evidenced",Absent,Contracts migration and tests,Yes,Yes,No evidence,No evidence,High,"packages/shared/src/evidence/decision.ts | supabase/migrations/20260912130000_mobility_decision_provenance.sql",Critical,"Integrate server writes and durable replay worker",Engineering,2026-09-26,"Redacted production decision and idempotent replay",Open
CID-2026-004,Employer verification,"Exact-match register evidence is modeled but register adapters and vacancy proof remain open",Partial,Versioned exact-match model,Yes,Yes,No evidence,No evidence,High,"supabase/migrations/20260912130000_mobility_decision_provenance.sql",High,"Implement DE/NL adapters and separate employer membership from vacancy sponsorship",Engineering/Research,2026-10-03,"Sample reconciliation plus stale/ambiguous/not-found cases",Open
CID-2026-005,Country readiness,"Readiness is derived rather than asserted but operation and expert approval remain absent",Full/explorer label,Derived policy and ledger,Yes,Yes,No evidence,No evidence,High,"packages/shared/src/evidence/readiness.ts | supabase/migrations/20260912140000_mobility_readiness_ledger.sql",Critical,"Remove legacy release semantics and run sign-off expiry drill",Product/Engineering,2026-09-26,"Live route demotes on expiry and stale source",Open
CID-2026-006,Research coverage,"Twenty markets are researched at differentiated readiness not approved for launch",No controlled package,20 chains and expert packets,Yes,No,No,No,High,"docs/reports/evidence-deep-rd-2026-09/completion-and-limitations-audit.md",High,"Keep launch corridor to DE/NL until each market earns gates",Founder/Research,2026-10-31,"Per-market gate dossier",Open
CID-2026-007,Moat thesis,"The potentially compounding asset is linked evidence decision correction action and outcome data",Generic feature breadth,Falsifiable evidence-loop thesis,Yes,Partial,No evidence,No evidence,Medium,"docs/reports/evidence-deep-rd-2026-09/competitive-and-counter-moat.md",Critical,"Instrument consented decision-to-outcome loop and test lift",Founder/Product,2026-10-31,"Cohort evidence versus predefined baseline",Open
CID-2026-008,Production status,"Repository changes cannot establish deployment",Unknown,Unknown,Yes,No,No evidence,No evidence,High,"docs/investigations/before-after-production-diff.md",Critical,"Create deployment verification pack",Engineering,2026-09-19,"Environment-bound signed checklist",Open
CID-2026-009,User value,"No inspected evidence shows comprehension trust or improved behavior/outcomes",Unknown,Unknown,Yes,No,No,No,High,"docs/reports/evidence-deep-rd-2026-09/completion-and-limitations-audit.md",Critical,"Run founder-led task-based UAT",Product Research,2026-09-26,"3-5 sessions plus scored comprehension and decision changes",Open
CID-2026-010,Commercial proof,"Willingness to pay and unit economics remain assumptions",Unknown,Unknown,Yes,No,No,No,High,"docs/reports/evidence-deep-rd-2026-09/commercial-validation-model.md",Critical,"Run real paid concierge/pilot experiment",Founder/Growth,2026-10-10,"Paid conversion refund retention and contribution margin",Open
CID-2026-015,Overdue restore-drill project retention,"A full production data restore-drill copy (184373 rows) in project yqkbpltpswgfybhesrnl appears to still exist 12+ days past its recorded 2026-08-31 deletion deadline; deletion_authorised was never set true, and the account that owns this org is not reachable from the founder's current browser login",Backup/restore drill executed and verified PASS on 2026-08-25,Unknown - project reachable via a previously cached CLI credential this session no longer holds and the founder's browser account lacks access,Yes,N/A,No evidence,No evidence,High,"docs/investigations/restore-drill-retention-gap-2026-09-12.md | .remediation-private-beta/test-evidence/f0e1969715536764f757854e1c9f7eb27b03e9d9/production-preflight/backup-restore/restore-exercise-result.json","Critical - undeleted production PII copy outside primary org, custodian unknown",Identify the account/org owner for sgnfxoncxfhljixyjuti, confirm project still exists and what it contains, then delete or bring retention into compliance,Founder,2026-09-13,Account ownership confirmed and project deleted or retention re-authorised with new deadline,Open
