source_id,jurisdiction,route_or_topic,authority,title,url,source_class,language,retrieved_at,published_or_updated_at,effective_from,claims_supported,evidence_level,review_state,change_cadence,known_gap
EU-001,EU,EU Blue Card,European Commission,What category do I fit into?,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/what-category-do-i-fit_en,official_guidance,en,2026-09-10,2025-09-23,,EU framework six-month offer qualifications/experience national threshold and Ireland/Denmark exception,R1,internal_pending,monthly,National implementation controls outcome
EU-002,EU,competence,European Commission,Who does what?,https://home-affairs.ec.europa.eu/policies/migration-and-asylum/eu-immigration-portal/who-does-what_en,official_guidance,en,2026-09-10,2025-04-01,,Shared EU and national competence; states decide applications,R1,internal_pending,quarterly,None
EU-003,EU,tech labour market,Eurostat,ICT specialists in employment 2025,https://ec.europa.eu/eurostat/en/web/products-eurostat-news/w/ddn-20260527-2,official_statistics,en,2026-09-10,2026-05-27,2025,10.45m EU ICT specialists; 5.0% employment; country shares,R1,internal_pending,annual,Employment is not migration-addressable demand
EU-004,EU,labour shortages,European Labour Authority,Labour shortages and surpluses in Europe 2024,https://www.ela.europa.eu/en/publications/labour-shortages-and-surpluses-europe-2024,official_report,en,2026-09-10,2025,,Cross-country shortage evidence and methodology,R0,full_text_pending,annual,Country occupation extraction pending
EU-005,EU,AI governance,European Union,Artificial Intelligence Act,https://eur-lex.europa.eu/eli/reg/2024/1689/oj,primary_law,multilingual,2026-09-10,2024-07-12,staged,Potential recruitment and migration-system classifications,R1,counsel_required,event_driven,Applicability to private candidate-side tool unresolved
EU-006,EU,data protection,European Union,General Data Protection Regulation,https://eur-lex.europa.eu/eli/reg/2016/679/oj,primary_law,multilingual,2026-09-10,2016-05-04,2018-05-25,Personal data lawful basis rights profiling and automated decisions,R1,DPIA_required,event_driven,Product-specific DPIA and national overlays pending
DE-001,Germany,EU Blue Card,Federal Government,The EU Blue Card,https://www.make-it-in-germany.com/en/visa-residence/types/eu-blue-card,official_guidance,en,2026-09-10,2026,2026,General and shortage/new-entrant salary thresholds and core conditions,R1,expert_pending,monthly,Primary-law and qualification-comparability chain pending
NL-001,Netherlands,Highly Skilled Migrant,IND,Highly skilled migrant residence permit,https://ind.nl/en/residence-permits/work/highly-skilled-migrant,official_guidance,en,2026-09-10,2026,2026,Recognised sponsor contract income and market-rate requirements,R1,expert_pending,monthly,Route exceptions and primary law pending
NL-002,Netherlands,Highly Skilled Migrant,IND,Required income amounts,https://ind.nl/en/required-amounts-income-requirements,official_dataset,en,2026-09-10,2026,2026,Current route-specific income thresholds,R1,expert_pending,monthly,Effective boundary tests pending
NL-003,Netherlands,sponsor verification,IND,Public register recognised sponsors work,https://ind.nl/en/public-register-recognised-sponsors/public-register-work,official_register,en,2026-09-10,2026,,Authoritative sponsor entities,R1,entity_resolution_pending,monthly,Legal-name alias and revocation handling pending
IE-001,Ireland,Critical Skills Employment Permit,DETE,Critical Skills Employment Permit,https://enterprise.gov.ie/en/what-we-do/workplace-and-skills/employment-permits/permit-types/critical-skills-employment-permit/,official_guidance,en,2026-09-10,2026,2026,Occupation remuneration qualification and job-offer conditions,R1,expert_pending,monthly,Occupation-code mapping corpus pending
IE-002,Ireland,remuneration,DETE,Minimum annual remuneration roadmap,https://www.enterprise.gov.ie/en/what-we-do/workplace-and-skills/economic-migration-policy/minimum-annual-remuneration/,official_guidance,en,2026-09-10,2026,2026,Current and planned remuneration changes,R1,expert_pending,monthly,Future effective transitions need event records
FR-001,France,Talent and EU Blue Card,France-Visas,International talents and economic attractiveness,https://france-visas.gouv.fr/en/web/france-visas/talents-internationaux-et-attractivite-economique,official_guidance,en,2026-09-10,2026,2025-08-21,Parallel route contract qualification/experience and salary conditions,R1,bilingual_expert_pending,monthly,Decree and French primary text reconciliation pending
SE-001,Sweden,EU Blue Card,Swedish Migration Agency,EU Blue Card for highly qualified employment,https://www.migrationsverket.se/en/you-want-to-apply/work/employee-or-self-employed/eu-blue-cards.html,official_guidance,en,2026-09-10,2026-07-15,2026-07-15,Six-month contract education/experience and 1.25x salary threshold,R1,expert_pending,monthly,Ordinary work-permit comparison pending
ES-001,Spain,HQP and EU Blue Card,Ministry of Inclusion,Initial authorisation for highly qualified professionals,https://www.inclusion.gob.es/en/web/migraciones/w/66.-autorizacion-inicial-de-residencia-y-trabajo-de-profesionales-altamente-cualificados,official_guidance,en,2026-09-10,2025-05,,National and Blue Card qualification/experience/document requirements,R1,spanish_expert_pending,monthly,Salary note on page is incomplete
ES-002,Spain,EU Blue Card salary,UGE,Authorisations and requirements,https://www.inclusion.gob.es/en/web/unidadgrandesempresas/autorizaciones-y-requisitos,official_guidance,en,2026-09-10,2026-06,2026,2026 salary order/update exists,R0,instrument_extraction_pending,monthly,Exact threshold and rule text not yet transcribed
AT-001,Austria,Red-White-Red Card,Federal Government,Very Highly Qualified Workers,https://www.migration.gv.at/en/types-of-immigration/permanent-immigration/very-highly-qualified-workers/,official_guidance,en,2026-09-10,2026,,70-point route and six-month job-seeker option,R1,expert_pending,monthly,Other key worker and Blue Card route comparison pending
BE-001,Belgium,regional single permit,Brussels Economy and Employment,Single permit highly qualified staff,https://economy-employment.brussels/single-permit-highly-qualified,official_guidance,en,2026-09-10,2026,,Regional work authorisation and federal residence dependency,R1,multi_region_review_pending,monthly,Flanders Wallonia and federal source chains pending
LU-001,Luxembourg,EU Blue Card,Guichet.lu,Highly qualified salaried work,https://guichet.public.lu/en/entreprises/ressources-humaines/recrutement/ressortissant-pays-tiers/plus-3-mois/salarie-hautement-qualifie.html,official_guidance,en,2026-09-10,2026-03-03,2026,Six-month contract 65652 EUR threshold qualification and ADEM vacancy,R1,expert_pending,monthly,Underlying regulation review pending
PT-001,Portugal,highly qualified activity,AIMA,Residence permit for highly qualified activity,https://aima.gov.pt/pt/trabalhar/autorizacao-de-residencia-para-atividade-altamente-qualificada-art-90-o,official_guidance,pt,2026-09-10,2026,,Route evidence and administrative requirements,R0,current_values_unresolved,monthly,Page embeds 2023/2024 salary references
NO-001,Norway,skilled worker,UDI,Skilled workers,https://www.udi.no/en/want-to-apply/work-immigration/skilled-workers/,official_guidance,en,2026-09-10,2026,,Qualification job offer and normal terms conditions,R1,expert_pending,monthly,Occupation/pay assessment operationalisation pending
CH-001,Switzerland,third-country skilled work,SEM,Non-EU/EFTA nationals,https://www.sem.admin.ch/sem/en/home/themen/arbeit/nicht-eu_efta-angehoerige.html,official_guidance,en,2026-09-10,2026,,High qualification quota labour-market priority and customary terms,R1,manual_only,monthly,Cantonal practice and quota data pending
UK-001,United Kingdom,Skilled Worker,UK Government,Skilled Worker visa your job,https://www.gov.uk/skilled-worker-visa/your-job,official_guidance,en,2026-09-10,2026,2026,Sponsor occupation salary and going-rate conditions,R1,counsel_pending,weekly,Personalised advice output boundary unresolved
UK-002,United Kingdom,sponsor verification,UK Government,Register of licensed sponsors workers,https://www.gov.uk/government/publications/register-of-licensed-sponsors-workers,official_register,en,2026-09-10,2026,,Licensed sponsor entities and routes,R1,entity_resolution_pending,weekly,Trading-name and revocation handling pending
UK-003,United Kingdom,advice regulation,Immigration Advice Authority,Immigration assistance practice note August 2025,https://assets.publishing.service.gov.uk/media/68a5a2378e2cb87576994d1e/IAA_Immigration_Assistance_practice_note_August_2025.pdf,regulator_guidance,en,2026-09-10,2025-08,,Information versus candidate-specific immigration assistance boundary,R1,written_opinion_required,event_driven,Product-output classification unresolved
COMP-001,Global,resume/autofill,Simplify,Copilot,https://simplify.jobs/copilot,vendor_primary,en,2026-09-10,2026,,Autofill resume optimisation tracking and broad ATS coverage,R1,verified_public_claim,quarterly,No independent outcome verification
COMP-002,Global,career suite,Teal,Teal Plus pricing,https://www.tealhq.com/pricing,vendor_primary,en,2026-09-10,2026-07-27,2026,Weekly monthly quarterly pricing and suite capabilities,R1,verified_public_claim,monthly,Regional pricing/tax not assessed
