market,investment_band,route_scope_next,primary_instruments_required,dynamic_parameters,employer_assertion_source,review_languages,minimum_case_families,change_watch,production_promotion_blocker
Germany,beachhead,"EU Blue Card; §19c IT comparator","Residence Act cross-references; Employment Ordinance; annual threshold publication","annual salary ceiling-derived thresholds; ISCO categories","No general sponsor register; vacancy/entity evidence",de-en,"salary bands; degree; IT experience; occupation; contract; regulated; conflict; replay","annual thresholds; statutory amendments; recognition guidance","R2 legal reconciliation; executable corpus; German sign-off"
Netherlands,beachhead,"Highly Skilled Migrant; EU Blue Card","Dutch Aliens Act/Decree/Regulations; IND implementation","annual HSM/Blue Card amounts; monthly sponsor register","IND recognised-sponsor work register with KVK",nl-en,"age; reduced criteria; pay elements; market rate; entity; route distinction; fines; replay","1 January amounts; monthly register; IND route changes","Dutch legal reconciliation; entity benchmark; sign-off"
Ireland,next_validation,"Critical Skills; General Employment Permit","Employment Permits Act/regulations; DETE route rules","remuneration; Critical Skills/Ineligible occupation lists","Employer/job-offer evidence; official company identifiers as supporting data",en,"duties-code; degree relation; salary bands; duration; employer exclusions","occupation/remuneration list updates","Current instrument/list snapshots; cases; Irish sign-off"
France,next_validation,"Talent EU Blue Card; qualified employee comparators","CESEDA; implementing decrees/orders; France-Visas guidance","salary thresholds; contract conditions; innovative-company criteria","Company/R&D evidence; no single sponsor badge",fr-en,"route distinction; salary; contract; qualification/experience; company status","decrees/orders and guidance","Bilingual legal chain; cases; French sign-off"
Sweden,next_validation,"EU Blue Card; ordinary work permit","Aliens Act/Ordinance; Migration Agency guidance","Blue Card salary; ordinary permit maintenance/conditions","Employer offer and employment-condition evidence",sv-en,"route; salary date; education/experience; insurance/terms; duration","threshold and work-permit policy changes","Ordinary-route chain; cases; Swedish sign-off"
Spain,next_validation,"EU Blue Card; national highly qualified route","Organic law/regulation; PJC/44/2026; UGE instructions","annual mean-wage calculation; reduced categories/list","UGE/employer/company evidence",es-en,"salary effective date; reduced group; qualification; ICT experience; route","earnings release and UGE notice","Exact effective dates/list; national route; Spanish sign-off"
Austria,controlled_research,"Red-White-Red categories; EU Blue Card","Settlement and Residence Act; employment regulations; official point/list instruments","points; shortage occupations; salary","Employer offer and official labour assessment",de-en,"points evidence; caps; list; pay; qualification; age/language","annual lists/thresholds","Full route tables; parity corpus; sign-off"
Denmark,controlled_research,"Pay Limit; Positive List; Fast-track","Aliens legislation; SIRI scheme rules","Pay Limit; Positive Lists; certified employers","SIRI certified-company evidence",da-en,"salary components; list version; certification; employment standards","annual/semiannual lists and thresholds","List/register snapshots; cases; sign-off"
Finland,controlled_research,"Specialist; EU Blue Card","Aliens Act; Migri route requirements","specialist/Blue Card income; excluded pay","Employer supplements and contract evidence",fi-sv-en,"expert duties; pay elements; contract; education/experience; route","annual thresholds and legislation","Primary-law overlays; cases; sign-off"
Belgium,controlled_research,"Regional highly qualified permits; EU Blue Card","Federal residence law plus Flanders/Wallonia/Brussels/German-speaking instruments","four authority thresholds and conditions","Regional employer application evidence",nl-fr-de-en,"competent region; route; salary; contract; qualification; federal stage","regional annual changes","Four-authority current chain and reviewer coverage"
Luxembourg,controlled_research,"EU Blue Card","Immigration law/regulation; Guichet/ADEM implementation","salary threshold","ADEM vacancy declaration and employer evidence",fr-de-lb-en,"salary; duration; qualification; regulated profession; workflow","annual threshold and process","Underlying law; cases; sign-off"
Portugal,controlled_research,"Highly qualified activity; Tech Visa; EU Blue Card","Foreigners law/regulations; AIMA/IAPMEI implementation","salary ratios; national statistics; certified companies","Tech Visa certified-company source and employer evidence",pt-en,"route; current statistic; occupation; company status; workflow","statistics and programme updates","Resolve stale values; operational chain; sign-off"
Estonia,controlled_research,"Skilled/ICT/Blue Card relevant paths","Aliens Act clauses; implementing regulations; PPA guidance","Statistics Estonia average salary coefficients","Employer invitation/consent evidence",et-en,"clause applicability; salary coefficient; role; employer; duration","annual statistics and statutory amendments","Current input; clause map; cases; sign-off"
Poland,watch_research,"EU Blue Card; relevant national skilled route","Foreigners Act and 2025/2026 transposition instruments; official guidance","salary threshold; shortage/occupation inputs if applicable","Employer application and labour-office evidence",pl-en,"transposition date; salary; contract; qualification; route","transposition and annual amounts","Current national chain; cases; sign-off"
Czechia,watch_research,"EU Blue Card","Foreign residence/employment statutes; ministry guidance","average-wage-derived amount; vacancy conditions","Registered Blue Card vacancy/employer evidence",cs-en,"numeric input; contract; qualification/experience; vacancy registration","annual wage and law changes","Bilingual chain; cases; sign-off"
Italy,watch_research,"EU Blue Card","Consolidated immigration law; implementing decrees/circulars","current remuneration amount; occupation/qualification criteria","Employer/nulla osta process evidence",it-en,"threshold; qualification/experience; contract; employer process; route","annual parameters and circulars","Current threshold/legal chain; cases; sign-off"
Lithuania,watch_research,"EU Blue Card","Law on Legal Status of Aliens Article 44-1 chain; official migration guidance","average wage; shortage/high-value occupation list","Employer/job evidence",lt-en,"1.2x/1.5x applicability; current inputs; experience; contract","quarterly/annual wage and list changes","Current wage/list and bilingual legal review"
Norway,separate_model,"Skilled worker","Immigration Act/Regulations; UDI guidance","occupation/education pay norms where relevant","Employer offer confirmation",no-en,"qualification; job relevance; pay/conditions; employer; duration","UDI guidance and collective norms","Separate rule family; cases; Norwegian sign-off"
Switzerland,manual_first,"Third-country highly qualified employment","Federal law/ordinances; SEM and cantonal guidance","annual quotas; labour priority; cantonal practice","Employer labour-market evidence and cantonal process",de-fr-it-en,"qualification; priority search; quota; salary/conditions; canton","annual quotas and cantonal changes","Manual scope; cantonal reviewers; viable economics"
United Kingdom,information_only,"Skilled Worker orientation only","Immigration Rules/Appendices; Home Office guidance; IAA boundary materials","salary/going rates; occupation codes; sponsor register","Home Office licensed-sponsor register",en,"sponsor entity; occupation; salary; vacancy statement; advice boundary","frequent rules/rates/register changes","Written IAA scope; authorised model; UK sign-off"
