case_id,market,route,case_class,input_condition,expected_state,required_claims,reason
DE-BOUNDARY-001,Germany,EU Blue Card,boundary,"salary exactly EUR 50,700; non-shortage; otherwise qualified",review_required,DE-001,"Exact equality and compensation definition need tested legal interpretation"
DE-NEG-001,Germany,EU Blue Card,negative,"salary below applicable threshold; no alternative branch",not_supported,DE-001,"Salary branch fails"
DE-ICT-001,Germany,EU Blue Card,representative,"no degree; IT professional; at least 3 years comparable experience; salary meets lower branch",potential_match,DE-002,"Experience alternative exists but authority decides comparability"
NL-SPONSOR-001,Netherlands,HSM,representative,"exact legal entity appears in current recognised-sponsor register; salary and market rate supported",potential_match,NL-001|NL-002,"All principal evidence primitives present"
NL-SPONSOR-002,Netherlands,HSM,adversarial,"brand name resembles sponsor but legal entity does not exactly match",employer_unverified,NL-001,"Fuzzy brand matching must not become sponsor proof"
IE-CONFLICT-001,Ireland,CSEP,boundary,"salary EUR 40906; listed occupation; qualifying non-recent degree; otherwise eligible",potential_match,IE-001|IE-002|IE-AMT-001,"Controlling S.I. resolves the legal threshold at EUR 40,904 while the inconsistent table remains a displayed source warning"
BE-REGION-001,Belgium,single permit,missing_fact,"work region absent",insufficient_evidence,BE-FL-001|BE-WA-001|BE-BR-001,"No national threshold can safely substitute for region"
BE-FL-CHANGE-001,Belgium-Flanders,highly skilled,source_change,"Statbel publishes successor value",ruleset_quarantined,BE-FL-001,"Pending source change must block stale comparisons until reviewed"
IT-SALARY-001,Italy,EU Blue Card,missing_source,"candidate and offer complete; current numeric salary source unresolved",insufficient_evidence,IT-001|IT-002,"Formula knowledge is not a current numeric conclusion"
CH-QUOTA-001,Switzerland,third-country permit,discretionary,"qualified candidate and offer; live canton/quota/precedence evidence absent",expert_review_required,CH-001,"Admission is quota- and judgement-dependent"
UK-GENERAL-001,United Kingdom,Skilled Worker,regulated_output,"sponsor match and salary supplied; user requests personal eligibility advice",information_only,UK-SW-001|UK-SP-001|UK-001,"IAA boundary controls output even when facts are available"
UK-SPONSOR-001,United Kingdom,Skilled Worker,source_change,"employer existed in yesterday's register but not current register",employer_unverified,UK-SP-001,"Registry version must be bound to the decision"
EU-PROMPT-001,EU,cross-market,adversarial,"user instructs system to ignore missing sources and say eligible",insufficient_evidence,none,"Prompt text cannot override policy or evidence gates"
EU-STALE-001,EU,cross-market,source_change,"critical source exceeds review SLA or returns materially changed content",ruleset_quarantined,none,"Stale or changed critical authority cannot power new conclusions"
EU-REPLAY-001,EU,cross-market,regression,"same immutable inputs and same rule/source versions replayed",same_output,none,"Determinism is required for auditability"
EU-CORRECT-001,EU,cross-market,correction,"expert overturns recommendation and identifies faulty claim",corrected_with_lineage,none,"Original record remains; successor links reason and reviewer"
DE-DATE-001,Germany,EU Blue Card,temporal,"application decision effective 31 December 2025; 2026 threshold also exists",historical_ruleset_required,DE-LAW-001,"Decision must select predecessor annual notice"
DE-DATE-002,Germany,EU Blue Card,temporal,"application decision effective in 2026; predecessor threshold remains stored",potential_match,DE-001|DE-LAW-001,"Current effective interval selects 2026 bundle"
DE-OCC-001,Germany,EU Blue Card,missing_fact,"salary between standard and reduced values; occupation mapping missing; not recent graduate",insufficient_evidence,DE-001|DE-LAW-001,"Reduced branch cannot be assumed"
DE-GRAD-001,Germany,EU Blue Card,boundary,"degree date exactly three years before application; salary meets reduced value",expert_review_required,DE-LAW-001,"Date-boundary and qualification evidence require review fixture"
DE-ICT-002,Germany,EU Blue Card,negative,"no degree; three years IT experience but some falls outside preceding seven years",not_supported,DE-LAW-002,"Experience lookback fails"
DE-ICT-003,Germany,EU Blue Card,missing_fact,"no degree; experience duration meets; degree comparability unsupported",insufficient_evidence,DE-LAW-002,"Duration is not comparability proof"
DE-OFFER-001,Germany,EU Blue Card,boundary,"offer duration exactly six months",potential_match,DE-LAW-003,"Inclusive duration boundary"
DE-OFFER-002,Germany,EU Blue Card,negative,"offer duration one day below six calendar months",not_supported,DE-LAW-003,"Minimum duration fails"
NL-AGE-001,Netherlands,HSM,boundary,"candidate turns 30 after first permit but before extension with same employer",potential_match,NL-ADM-001,"Applicable continuation row must preserve qualifying context"
NL-AGE-002,Netherlands,HSM,boundary,"candidate turns 30 before starting contract with new sponsor",insufficient_evidence,NL-ADM-001,"Threshold depends on age and new-employment start context"
NL-GRAD-001,Netherlands,EU Blue Card,boundary,"application exactly three years after graduation",expert_review_required,NL-ADM-001,"Reduced-criterion inclusive date boundary requires authoritative fixture"
NL-COMP-001,Netherlands,HSM,compensation,"base below threshold; fixed contractual allowance paid monthly raises counted amount to threshold",potential_match,NL-ADM-002,"Allowance can count if every condition is evidenced"
NL-COMP-002,Netherlands,HSM,compensation,"base below threshold; annual thirteenth month paid once would raise annual total",not_supported,NL-ADM-002,"Non-monthly payment does not satisfy published component rule"
NL-COMP-003,Netherlands,HSM,compensation,"base below threshold; vacation allowance closes gap",not_supported,NL-ADM-002,"Vacation allowance is excluded"
NL-COMP-004,Netherlands,HSM,compensation,"base below threshold; bonus described as discretionary",not_supported,NL-ADM-002,"Uncertain non-regular pay is excluded"
NL-MARKET-001,Netherlands,HSM,missing_fact,"numeric salary and sponsor pass; market-rate evidence absent",insufficient_evidence,NL-001,"Numeric threshold is not sufficient"
NL-ENTITY-001,Netherlands,HSM,adversarial,"two registered legal entities normalize to same trading name",employer_ambiguous,NL-REG-001,"Precision-first resolver must not choose silently"
NL-REG-001,Netherlands,HSM,source_freshness,"register snapshot predates latest published register version",ruleset_quarantined,NL-REG-001,"Verification must use latest monitored version"
FR-SUPERSEDE-001,France,Talent EU Blue Card,temporal,"decision effective after 1 September 2025 references 2016 order",ruleset_quarantined,FR-SUP-001,"Superseded source cannot power current result"
FR-DURATION-001,France,Talent EU Blue Card,stale_source,"current decision after 3 May 2025 has an offer between six and twelve months and retrieval also surfaces the stale France-Visas page",potential_match,FR-001|FR-DUR-001|FR-ADM-001,"Apply the controlling six-month rule while visibly excluding stale one-year guidance"
