Filename,Order,Purpose,Dependency,Local Status,Staging Status,Production Status,Rollback/Forward-Fix Strategy,Verification Query,Evidence
20260506171000_cloud_sync_profiles.sql,1,Creates profiles table for cloud sync,None,Applied (in repo history),Unverified,Unverified,Forward-fix only - no down migration convention in this repo,"select count(*) from public.profiles",Not run this pass
20260506182000_profile_revisions.sql,2,Adds profile revision history,cloud_sync_profiles,Applied,Unverified,Unverified,Forward-fix only,"select count(*) from public.profile_revisions",Not run this pass
20260507100000_billing.sql,3,Initial billing/subscription tables,None,Applied,Unverified,Unverified,Forward-fix only,"select count(*) from public.subscriptions",Not run this pass
20260508100000_lock_billing_server_writes.sql,4,Server-authoritative billing writes (RLS lock),billing,Applied,Unverified,Unverified,Forward-fix only - re-adding a client write policy would be the rollback and is explicitly discouraged,"select policyname from pg_policies where tablename='subscriptions'",Test-covered in production-hardening.test.mjs
20260508190000_rate_limits_and_subscription_status.sql,5,Rate-limit tables + subscription status enum,billing,Applied,Unverified,Unverified,Forward-fix only,"select count(*) from public.ai_rate_limits",Not run this pass
20260509100000_accounts_and_extension_sync.sql,6,Account settings + extension sync tables,None,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
20260509130000_dashboard_workflow_tables.sql,7,Job/application workflow tables,accounts_and_extension_sync,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
20260509143000_align_workflow_enums.sql,8,Aligns workflow status enums,dashboard_workflow_tables,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
20260511130000_operational_logs.sql,9,Operational/audit log table,None,Applied,Unverified,Unverified,Forward-fix only,"select count(*) from public.operational_logs",Not run this pass
20260511143000_application_url_keys.sql,10,URL-key dedup for applications,dashboard_workflow_tables,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
20260511160000_application_delete_tombstones.sql,11,Soft-delete tombstones for applications,application_url_keys,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
20260512120000_competitor_grade_application_pipeline.sql,12,Application pipeline schema expansion,dashboard_workflow_tables,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
20260514120000_fix_ai_rate_limit_timestamp.sql,13,Fixes AI rate-limit timestamptz bug,rate_limits_and_subscription_status,Applied,Unverified,Unverified,Forward-fix only,"select column_name,data_type from information_schema.columns where table_name='ai_rate_limits' and column_name='reset_at'",Test-covered in production-hardening.test.mjs
20260518120000_account_settings.sql,14,Account settings table,accounts_and_extension_sync,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
20260729120000_mobility_profiles_entry_gate.sql,15,International mobility entry-gate schema,profile_revisions,Applied,Unverified,Unverified,Forward-fix only,N/A,Test-covered in mobility-migration-safety.test.mjs
20260801190000_admin_operations_foundation.sql,16,admin_memberships and admin foundation tables,None,Applied,Unverified,Unverified,Forward-fix only,"select count(*) from public.admin_memberships",Test-covered in admin-foundation.test.mjs
20260801191000_workflow_operational_events.sql,17,Workflow event log table,admin_operations_foundation,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
20260809120000_job_aggregation_cv_outreach.sql,18,Job listings + CV/outreach tables,None,Applied,Unverified,Unverified,Forward-fix only,"select count(*) from public.job_listings",Test-covered in job-aggregation.test.mjs
20260810120000_esco_adaptive_matching.sql,19,ESCO occupation matching schema,job_aggregation_cv_outreach,Applied,Unverified,Unverified,Forward-fix only,N/A,Not run this pass
