policy_id,release_state,route_outcome,evidence_state,employer_state,allowed_headline,required_limit,prohibited_examples,server_action
OUT-001,research,any,any,any,"Research trace only","This rule set is unsigned and not available for a user decision.","eligible; verified; apply now",block_customer_output
OUT-002,private_evaluation,criteria_indicated,current_complete,confirmed_register,"Published criteria indicated for this route","This is not a visa decision; confirm remaining facts and current requirements.","eligible; guaranteed; approved; employer will sponsor",allow_bounded
OUT-003,private_evaluation,criteria_indicated,current_complete,unknown,"Published route criteria indicated; employer position unknown","Register or vacancy evidence does not establish this employer will sponsor you.","sponsor verified; sponsorship available",allow_bounded
OUT-004,private_evaluation,criteria_not_indicated,current_complete,any,"One encoded route criterion is not indicated","This result concerns the named route/version; another route may differ.","visa impossible; cannot work in country",allow_bounded
OUT-005,private_evaluation,verification_required,missing,any,"More evidence is required","No positive or negative route conclusion can be made from the current facts.","probably eligible; should qualify",allow_investigation_only
OUT-006,private_evaluation,verification_required,conflicting,any,"Conflicting evidence must be resolved","AutoTime has not selected one fact as true.","we verified; likely correct",allow_investigation_only
OUT-007,private_evaluation,verification_required,stale,any,"Current verification is required","The supporting source or evidence exceeded its freshness policy.","current; up to date; verified",allow_investigation_only
OUT-008,private_evaluation,route_not_evaluated,any,any,"This route is not currently evaluated","The bundle is unavailable unsigned expired or out of scope.","unsupported means ineligible",block_route_conclusion
OUT-009,expert_signed,criteria_indicated,current_complete,confirmed_register,"Published criteria indicated for the reviewed scope","Signed review covers the displayed route bundle and date—not authority approval.","guaranteed approval",allow_signed_scope
OUT-010,expert_signed,criteria_not_indicated,current_complete,any,"A reviewed encoded criterion is not indicated","The review is limited to the named route and supplied facts.","no route exists",allow_signed_scope
OUT-011,production_observed,criteria_indicated,current_complete,confirmed_register,"Published criteria indicated for this route","Current sources and reviewed rules support this comparison; the authority decides.","visa approved; success guaranteed",allow_observed_scope
OUT-012,any,any,any,exact_identifier,"Recognised-sponsor register match","Matched legal entity and register date are shown; this does not prove vacancy willingness.","verified employer sponsorship; will sponsor",allow_narrow_assertion
OUT-013,any,any,any,exact_name_only,"Possible register match—verify legal entity","Name similarity is not sufficient for confirmed status.","verified sponsor",require_manual_entity_review
OUT-014,any,any,any,alias_or_group,"Brand/group relationship—verify employing entity","A parent subsidiary recruiter or brand may not be the registered employer.","company is sponsored; group is verified",require_manual_entity_review
OUT-015,any,any,any,no_match,"No current register match found","Absence may reflect entity mismatch or register timing; it is not proof of ineligibility.","not a sponsor; cannot sponsor",allow_unknown
OUT-016,any,any,any,negative_vacancy_statement,"Vacancy states sponsorship is unavailable","This is the vacancy's dated statement; confirm with the employer if circumstances differ.","employer can never sponsor",allow_vacancy_fact
OUT-017,any,any,any,positive_vacancy_statement,"Vacancy indicates sponsorship or relocation support","The wording is a positive signal—not a commitment or route approval.","sponsorship confirmed",allow_vacancy_fact
OUT-018,any,any,unsupported_claim,any,"Application claim blocked","Link qualifying candidate evidence or remove the claim.","invented achievements; inferred work rights",block_content_export
OUT-019,any,any,inferred_claim,any,"Candidate confirmation required","System inference cannot support this material claim until confirmed.","verified evidence",require_confirmation
OUT-020,any,any,supported_claim,any,"Evidence-linked claim","Review the exact wording before submission; employer assessment remains independent.","guarantees interviews; ATS proof",allow_with_review
