data_class,examples,product_purpose,necessity,default_storage,proposed_retention,delete_behavior,analytics_allowed,training_allowed,approval_required
account_identity,"email; auth subject",account access and communication,required,"auth provider; application DB","account life plus approved exceptions","delete/detach per approved schedule",pseudonymous metrics only,no,DPO
mobility_profile,"nationality category; work-right; targets",personalised assessment,conditional,application DB,"user-controlled while active; inactivity review","delete and cascade subject to approved audit exception",aggregate after review,no by default,DPO/counsel
candidate_evidence,"CV facts; qualifications; experience",claim support and reuse,conditional,"DB; object storage","shortest product-necessary period","delete source and derived searchable representations",no raw content,no without separate programme,DPO
identity_documents,"passport; permit; certificates",strictly reviewed verification only,avoid_by_default,restricted encrypted storage,"transaction/review window unless law requires","secure delete across processors/backups under policy",no,no,"Security; DPO; counsel"
vacancy_source,"job text; URL; salary; employer statement",job decision evidence,required_for_decision,"DB; object storage","decision life plus source/licensing limits","delete user copy; retain lawful non-personal reference only",derived metrics,not raw without rights review,"Legal; DPO"
employer_entity,"legal name; KVK; aliases",entity resolution,required,application DB,"authoritative/history need","retain public entity; delete user linkage",yes,source-rights limited,Data owner
sponsor_assertion,"register status; revision; entity",dated employer evidence,required_for_feature,application DB,"historical replay period","retain public history; delete candidate linkage",yes,source-rights limited,"Legal; source owner"
decision_record,"snapshot hash; trace; action; limits",replay and correction,required,append_only DB,"defined audit period; minimise linkage","delete/anonymise payload; retain justified integrity metadata",pseudonymous only,no by default,"DPO; counsel"
correction_incident,"report; affected decision; resolution",safety and legal defence,required,restricted append_only DB,"risk/legal limitation period","minimise/anonymise; justified incident core",aggregate safety,no without governance,"Risk; counsel"
expert_review,"identity; qualification; labels; sign-off",rule validation,required,restricted store,"contract/sign-off plus legal period","contract/legal schedule",quality metrics,labels under contract,"Legal; operations"
research_session,"consent; recording; transcript",UAT,optional,restricted research store,"consent-specific short period","withdraw/delete raw identifiers/recordings",de-identified,only explicit consent,"DPO; research"
application_outcome,"applied; interview; rejection",effectiveness research,optional,"DB; research store","purpose-specific and user-controlled","delete or irreversibly anonymise",aggregate,not by default,"DPO; research"
payment_record,"Stripe IDs; amount; refund; tax",billing/accounting,required,"Stripe; minimal ledger","statutory/contract accounting period","delete unnecessary details; retain required finance record",commercial aggregates,no,"Finance; counsel"
support_message,"ticket; complaint; attachments",support and disputes,conditional,support system,"purpose plus limitation period","delete/minimise; justified legal hold only",aggregate,no,"DPO; support"
operational_telemetry,"request ID; route version; error",security/reliability,required,observability,"short operational window","automatic expiry; remove user linkage",minimised yes,no,"Security; DPO"
marketing_analytics,"page; campaign; consent",acquisition,optional,analytics provider,"short configured period","provider deletion and identifier reset",yes,no,"DPO; marketing"
